measure,angle_deg,angle_rad,P_pp,quantum_P_pp,deviation
quantum,0,0.000000,0.000000,0.000000,0.000000
quantum,30,0.523599,0.084040,0.033494,0.050546
quantum,45,0.785398,0.126360,0.073223,0.053137
quantum,60,1.047198,0.168500,0.125000,0.043500
quantum,90,1.570796,0.252120,0.250000,0.002120
quantum,120,2.094395,0.333680,0.375000,-0.041320
quantum,135,2.356194,0.376180,0.426777,-0.050597
quantum,150,2.617994,0.413500,0.466506,-0.053006
quantum,180,3.141593,0.497380,0.500000,-0.002620
peaked,0,0.000000,0.000000,0.000000,0.000000
peaked,30,0.523599,0.002320,0.033494,-0.031174
peaked,45,0.785398,0.012400,0.073223,-0.060823
peaked,60,1.047198,0.046120,0.125000,-0.078880
peaked,90,1.570796,0.251540,0.250000,0.001540
peaked,120,2.094395,0.455520,0.375000,0.080520
peaked,135,2.356194,0.491560,0.426777,0.064783
peaked,150,2.617994,0.498680,0.466506,0.032174
peaked,180,3.141593,0.503620,0.500000,0.003620
bimodal,0,0.000000,0.000000,0.000000,0.000000
bimodal,30,0.523599,0.000000,0.033494,-0.033494
bimodal,45,0.785398,0.000000,0.073223,-0.073223
bimodal,60,1.047198,0.000000,0.125000,-0.125000
bimodal,90,1.570796,0.499160,0.250000,0.249160
bimodal,120,2.094395,0.497080,0.375000,0.122080
bimodal,135,2.356194,0.497480,0.426777,0.070703
bimodal,150,2.617994,0.500680,0.466506,0.034174
bimodal,180,3.141593,0.500940,0.500000,0.000940
